"Native rosella, White wild musk mallow, ","Abelmoschus ficulneus","Malvaceae","Leaves","","0","0","0","0","0","0","0"
"","","","Fruit","","0","0","0","0","0","0","0"
"","","","Root","","0","0","0","0","0","0","0"
"Aibika, Edible Hibiscus, ","Abelmoschus manihot","Malvaceae","Leaves","88","120","29","3.4","1.0","7.0","1.5","1.2"
"","","","Flower buds","","0","0","0","0","0","0","0"
"Musk mallow, Bush carrot, ","Abelmoschus moschatus","Malvaceae","Seeds","11.4","0","0","2.3","0","0","0","0"
"","","","Leaves","82","226","54","4.1","0","0","0","0"
"","","","Roots","","0","0","0","0","0","0","0"
"","","","Pods","","0","0","0","0","0","0","0"
"Climbing hibiscus, Musk mallow, ","Abelmoschus moschatus subsp. tuberosus","Malvaceae",,,"0","0","0","0","0","0","0"
"Momi fir, Japanese fir, ","Abies firma","Pinaceae","Seeds","","0","0","0","0","0","0","0"
"Giant fir, Grand fir, Lowland fir, ","Abies grandis","Pinaceae","Bark","","0","0","0","0","0","0","0"
"","","","Leaves - tea","","0","0","0","0","0","0","0"
"Cranberry gourd, ","Abobra tenuifolia","Cucurbitaceae","Fruit","","0","0","0","0","0","0","0"
"Perennial Indian hemp, Maria herrania, ","Abroma augusta","Malvaceae",,,"0","0","0","0","0","0","0"
"Snowball sand verbena, Sweet sand0verbena, ","Abronia fragrans","Nyctaginaceae","Root","","0","0","0","0","0","0","0"
"Coastal Sand Verbena, Yellow Sand0verbena, ","Abronia latifolia","Nyctaginaceae","Root","","0","0","0","0","0","0","0"
"Bird's eye, Indian liquorice, ","Abrus precatorius","Fabaceae","Seeds boiled","","0","0","0","0","0","0","0"
"","","","Root","","0","0","0","0","0","0","0"
"","","","Leaves - tea","","0","0","0","0","0","0","0"
"","","","Leaves","79","259","62","5.6","0","0","0","0"
"Videira Silvestre, ","Abuta platyphylla","Menispermaceae",,,"0","0","0","0","0","0","0"
"","Abutilon mauritianum var. cabrae","Malvaceae",,,"0","0","0","0","0","0","0"
"Brazilian mallow, ","Bakeridesia esculenta","Malvaceae",,,"0","0","0","0","0","0","0"
"Plains Lanternflower, ","Abutilon indicum","Malvaceae","Seed flour","5.9","0","0","22.4","0","0","0","0"
"","","","Leaves","","0","0","0","126","0","0","0"
"","","","Flowers","","0","0","0","0","0","0","0"
"","","","Seed - oil","","0","0","0","0","0","0","0"
"Desert lantern, Lantern Bush, ","Abutilon leucopetalum","Malvaceae","Root","","0","0","0","0","0","0","0"
"Lantern flower, Desert Lantern, Desert Chinese Lantern, ","Abutilon otocarpum","Malvaceae","Seed","","0","0","0","0","0","0","0"
"China jute, ","Abutilon theophrasti","Malvaceae","Seeds","","0","0","17.4","0","0","0","0"
"","Acacia acradenia","Fabaceae","Seed				","3.3","1687","404","23.2","0","0","7.5","1.1"
"","","","Gum","","0","0","0","0","0","0","0"
"Raspberry jam wattle, ","Acacia acuminata","Fabaceae","Gum","","0","0","0","0","0","0","0"
"","","","Seed","","0","0","0","0","0","0","0"
"","Acacia adoxa","Fabaceae","Grub","","0","0","0","0","0","0","0"
"Mulga, ","Acacia adsurgens","Fabaceae","Seed				","4.6","1513","362","24.5","0","0","16.2","7.4"
"White0thorn, Apple ring acacia, ","Faidherbia albida","Fabaceae","Seeds (detoxify)","6.5","1437","344","24.8","0","0","6.8","2.6"
"","","","Leaves","","0","0","0","0","0","0","0"
"","","","Pods - young","","0","0","0","0","0","0","0"
"Mount Conner wattle","Acacia ammobia","Fabaceae","Seed","","0","0","0","0","0","0","0"
"Salt wattle, ","Acacia ampliceps","Fabaceae","Seed","","0","0","0","0","0","0","0"
"Duck bill wattle, ","Acacia anaticeps","Fabaceae",,,"0","0","0","0","0","0","0"
"Fish hook wattle, Fitzroy wattle, ","Acacia ancistrocarpa","Fabaceae","Seed - young","","0","0","0","0","0","0","0"
"","","","Seed - dry","","0","0","0","0","0","0","0"
"Mulga, Yarran, ","Acacia aneura","Fabaceae","Seed	","5.2","1593","381","25.4","0","0","14.1","2.9"
"","","","Flowers","","0","0","0","0","0","0","0"
"","","","Gum","","0","0","0","0","0","0","0"
"Flame acacia, Flame thorn, ","Senegalia ataxacantha","Fabaceae",,,"0","0","0","0","0","0","0"
"Black wattle, Ear Pod Wattle, ","Acacia auriculiformis","Fabaceae","Seeds - oil","","0","0","0","0","0","0","0"
"","","","Gum","","0","0","0","0","0","0","0"
"Bead wattle, ","Acacia beauverdiana","Fabaceae","Seeds","","0","0","0","0","0","0","0"
"Corkwood wattle, ","Acacia bidwillii","Fabaceae","Root","","0","0","0","0","0","0","0"
"Dune wattle, Umbrella wattle, Small cooba, ","Acacia bivenosa","Fabaceae",,,"0","0","0","0","0","0","0"
"Umbrella mulga, Turpentine Mulga, ","Acacia brachystachya","Fabaceae","Seed","","0","0","0","0","0","0","0"
"Northern Myall, Shrubby mulga, ","Acacia calcicola","Fabaceae",,,"0","0","0","0","0","0","0"
"","Acacia valida","Fabaceae",,,"0","0","0","0","0","0","0"
"Gidgee, Stinking Wattle, ","Acacia cambagei","Fabaceae","Gum","","0","0","0","0","0","0","0"
"River jam, ","Acacia citrinoviridis","Fabaceae","Seed","","0","0","0","0","0","0","0"
"Boat0spine acacia, ","Acacia cochliacantha","Fabaceae","Seed","","0","0","0","0","0","0","0"
"Candelabra Wattle, Soap wattle, ","Acacia colei","Fabaceae","Seeds - dry","8.3","0","0","21.2","0","0","0","0"
"","","","Seeds - young","","0","0","0","0","0","0","0"
"Flat0stemmed wattle, ","Acacia complanata","Fabaceae","Seed","","0","0","0","0","0","0","0"
"Soap0Pod, ","Acacia concinna","Fabaceae","Seed","","0","0","0","0","0","0","0"
"","","","Leaves","","0","0","0","0","0","0","0"
"","","","Flower","","0","0","0","0","0","0","0"
"","","","Pods","","0","0","0","0","0","0","0"
"Black wattle, ","Acacia concurrens","Fabaceae","Seed				","3.9","1935","463","23.3","0","0","0","0"
"","","","Roots","","0","0","0","0","0","0","0"
"Witchety bush, Cork bark wattle, ","Acacia coriacea","Fabaceae","Seed dry	","8.4","1507","361","23.1","0","0","7.7","5.8"
"","","","Seed green","56.8","627","150","23.7","0","0","3.2 ","1.0"
"","","","Flowers","","0","0","0","0","0","0","0"
"","","","Seeds dry","4.1","0","0","20.9","0","0","7.7","5.8"
"Hall’s Creek wattle, ","Acacia cowleana","Fabaceae","Seed","5.6","1246","298","23.8","0","0","6.2","4.5"
